object_name,sector,level,service_scale,process_criticality,num_users,num_territories,predicted_financial_damage,recovery_time_hours,critical_processes_count,integrations_count,personal_data_subjects,affected_employees,continuous_operation,uses_automated_control_system,provides_gov_services,life_health_impact,ecological_impact,defense_impact,public_order_impact,transport_impact,communication_impact,sensitive_info,category_level
Сеть передачи #454,Здравоохранение,Региональный,Федеральный округ,Низкая,144840,15,27966,72.0,8,11,126856,1715,False,True,False,True,False,False,False,False,False,False,3
ИС обработки #455,Государственное управление,Региональный,Федеральный округ,Средняя,64461,28,1826760,72.0,10,24,44041,2068,True,True,True,False,False,True,True,False,False,True,3
ИС аналитики #456,Энергетика,Региональный,Несколько муниципалитетов,Низкая,139226,1,65828,168.0,12,6,166816,2066,False,True,False,False,True,False,False,False,False,False,1
Сеть мониторинга #457,Транспорт,Муниципальный,Один город,Средняя,61839,3,33265510,24.0,6,14,69095,2543,False,True,False,True,False,False,True,True,False,False,2
ИС передачи #458,Наука,Объектовый,Несколько муниципалитетов,Высокая,4365,4,318190314,8.0,4,8,2995,424,True,True,False,False,False,False,True,False,False,False,1
Сервис обработки #459,Транспорт,Муниципальный,Вся страна,Высокая,79995,59,30246752,12.0,3,9,10195,1443,True,True,False,True,False,False,True,True,False,False,3
Портал хранения #460,Энергетика,Федеральный,Один город,Высокая,293317,1,7190318,12.0,13,6,198275,5159,True,True,False,False,True,False,False,False,False,False,2
Система мониторинга #461,Здравоохранение,Региональный,Один город,Средняя,189235,4,2960762,48.0,8,17,134772,1181,True,False,False,True,False,False,False,False,False,False,2
ИС аналитики #462,Наука,Объектовый,Один город,Средняя,644,4,1382469,24.0,2,5,97,650,True,True,False,False,False,False,False,False,False,False,1
Портал аналитики #463,Оборонная промышленность,Региональный,Субъект РФ,Высокая,177903,8,19025668,24.0,5,19,94697,840,True,False,True,False,False,False,False,False,False,True,2
ИС хранения #464,Связь,Муниципальный,Вся страна,Средняя,5613,71,12606479,24.0,3,9,2245,144,False,False,False,False,False,False,False,False,True,False,1
Портал обработки #465,Банковская сфера,Региональный,Субъект РФ,Средняя,238005,2,2344851,72.0,6,17,334757,3772,False,False,False,False,True,False,True,False,False,True,2
Портал мониторинга #466,Наука,Региональный,Несколько муниципалитетов,Высокая,111404,2,34645220,4.0,11,13,132874,2554,True,False,False,False,False,False,False,False,False,False,2
ИС аналитики #467,Оборонная промышленность,Региональный,Вся страна,Средняя,304936,62,10599480,72.0,16,17,244919,2390,False,True,False,False,False,True,False,False,False,True,3
ИС аналитики #468,Здравоохранение,Федеральный,Один город,Средняя,508780,4,10736408,72.0,15,15,240460,825,False,False,False,True,False,False,False,False,False,False,2
Портал хранения #469,Здравоохранение,Федеральный,Один город,Высокая,478980,2,81367456,4.0,5,23,567699,3745,True,False,False,True,False,False,False,False,False,False,3
Портал аналитики #470,Здравоохранение,Региональный,Несколько муниципалитетов,Высокая,250453,3,79949603,24.0,12,10,252499,2022,True,False,True,True,False,False,False,False,False,True,3
АСУ ТП хранения #471,Связь,Муниципальный,Несколько муниципалитетов,Средняя,18264,4,10904112,168.0,1,10,20362,857,False,False,False,False,False,False,False,False,True,False,0
Портал аналитики #472,Энергетика,Федеральный,Вся страна,Низкая,212907,55,386655,72.0,17,33,108488,2959,False,True,False,False,True,False,False,False,False,False,2
ИС передачи #473,Наука,Федеральный,Один город,Критическая,411950,2,322587310,4.0,10,1,374038,3070,True,False,False,True,False,False,False,False,True,False,3
ИС хранения #474,Здравоохранение,Объектовый,Федеральный округ,Высокая,533,23,130769442,24.0,3,5,694,218,True,False,False,True,False,False,False,False,False,False,2
Сервис аналитики #475,Транспорт,Региональный,Несколько муниципалитетов,Критическая,60239,2,77209776,2.0,3,1,68497,2702,True,True,False,True,False,False,True,True,False,False,3
Сервис аналитики #476,Транспорт,Муниципальный,Федеральный округ,Средняя,40345,14,4700376,168.0,7,4,28490,156,False,True,False,True,False,False,True,True,False,False,2
Система управления #477,Государственное управление,Муниципальный,Федеральный округ,Средняя,55570,12,2568661,168.0,5,6,68669,426,True,False,True,False,False,True,True,False,True,True,2
Портал передачи #478,Связь,Муниципальный,Несколько муниципалитетов,Высокая,24396,2,33654998,4.0,6,12,22419,1495,True,False,False,False,False,False,False,False,True,False,1
ИС аналитики #479,Энергетика,Объектовый,Федеральный округ,Средняя,1208,17,694445,24.0,2,2,980,71,False,True,False,False,True,False,False,False,False,False,1
Система хранения #480,Банковская сфера,Региональный,Несколько муниципалитетов,Средняя,357611,2,30192888,48.0,7,22,516396,2904,False,True,False,False,False,False,False,False,True,True,2
Сеть передачи #481,Связь,Муниципальный,Субъект РФ,Низкая,2148,3,23924,48.0,3,12,1596,3034,True,False,False,False,False,False,False,False,True,False,0
ИС передачи #482,Топливная промышленность,Объектовый,Субъект РФ,Низкая,1778,3,59907,48.0,3,5,1280,623,False,True,False,False,True,False,True,False,False,False,0
Платформа обработки #483,Оборонная промышленность,Объектовый,Вся страна,Средняя,105,81,443769,72.0,3,6,49,1144,False,False,False,False,False,True,True,True,False,True,2
Платформа мониторинга #484,Наука,Региональный,Несколько муниципалитетов,Высокая,165011,1,2499331722,24.0,12,8,177896,2309,True,False,False,False,False,False,False,False,False,False,2
Система передачи #485,Государственное управление,Региональный,Несколько муниципалитетов,Высокая,292761,2,24360229,4.0,7,9,345798,1282,True,False,True,False,False,True,True,True,False,True,3
ИС аналитики #486,Транспорт,Региональный,Один город,Средняя,84485,2,1165178,24.0,4,20,126333,3384,False,True,False,True,False,False,True,True,False,False,2
АСУ ТП передачи #487,Здравоохранение,Объектовый,Федеральный округ,Средняя,2855,22,27782724,24.0,5,8,2803,33,False,True,True,True,False,False,False,False,True,True,3
ИС мониторинга #488,Оборонная промышленность,Региональный,Субъект РФ,Высокая,118788,1,25369550,4.0,9,19,93869,2711,True,False,False,False,False,False,False,False,False,True,2
АСУ ТП аналитики #489,Связь,Региональный,Вся страна,Средняя,248693,86,6418447,24.0,5,25,144588,2264,False,False,False,False,False,False,False,False,True,False,1
АСУ ТП хранения #490,Оборонная промышленность,Объектовый,Субъект РФ,Высокая,3334,1,208548938,8.0,2,5,4321,744,True,True,False,False,False,True,True,True,False,True,3
Сеть мониторинга #491,Государственное управление,Региональный,Один город,Средняя,163952,4,1294155,48.0,13,19,27192,3280,True,False,True,False,False,False,True,False,False,True,2
Платформа аналитики #492,Государственное управление,Федеральный,Субъект РФ,Средняя,251549,7,19684451,168.0,7,16,321510,107,True,False,True,False,False,True,True,False,False,True,3
АСУ ТП аналитики #493,Топливная промышленность,Федеральный,Вся страна,Высокая,633247,78,425727491,8.0,14,34,882807,2239,True,True,False,False,True,False,False,False,False,False,3
Платформа хранения #494,Здравоохранение,Объектовый,Федеральный округ,Низкая,1192,20,2655673,48.0,1,2,1330,220,True,False,False,True,False,False,False,False,False,False,1
Сервис передачи #495,Топливная промышленность,Муниципальный,Федеральный округ,Высокая,19589,13,39654365,24.0,7,11,8986,738,True,True,False,False,True,False,False,False,False,False,2
Сеть передачи #496,Энергетика,Региональный,Федеральный округ,Низкая,399479,28,121263,24.0,9,20,241364,1383,False,True,False,False,True,False,False,False,False,False,2
Сервис обработки #497,Энергетика,Региональный,Один город,Средняя,229286,4,14283675,72.0,10,28,117965,2339,True,True,False,False,True,False,False,False,False,False,2
Платформа аналитики #498,Банковская сфера,Муниципальный,Субъект РФ,Средняя,35148,1,3487158,24.0,4,10,50682,279,False,False,False,False,False,False,False,False,False,True,1
Сеть передачи #499,Государственное управление,Объектовый,Один город,Высокая,1532,4,49673813,12.0,3,8,1445,78,True,True,True,False,False,True,True,False,False,True,3
Сервис хранения #500,Государственное управление,Региональный,Федеральный округ,Средняя,399268,24,10814773,24.0,13,22,502047,327,False,False,True,False,False,True,True,False,False,True,3
Портал аналитики #501,Энергетика,Региональный,Несколько муниципалитетов,Средняя,302407,2,7106745,48.0,5,22,344728,182,True,True,False,False,True,False,False,False,False,False,1
ИС мониторинга #502,Оборонная промышленность,Федеральный,Субъект РФ,Средняя,496082,8,1066076,24.0,7,20,562849,1546,True,False,True,False,True,True,False,False,False,True,3
Портал мониторинга #503,Государственное управление,Муниципальный,Один город,Низкая,3426,4,315696,24.0,4,1,2498,2780,False,False,True,False,False,True,True,False,False,True,2
Сервис обработки #504,Топливная промышленность,Муниципальный,Субъект РФ,Средняя,56757,6,1234594,24.0,5,7,18249,1513,True,True,False,False,True,False,False,False,False,False,1
Сеть мониторинга #505,Связь,Объектовый,Субъект РФ,Средняя,1652,2,2224637,24.0,2,7,2448,305,False,False,False,False,False,False,False,False,True,False,0
Сервис мониторинга #506,Банковская сфера,Региональный,Федеральный округ,Низкая,96877,18,120720,48.0,7,20,91098,356,True,False,False,False,False,False,False,False,False,True,1
Портал хранения #507,Здравоохранение,Муниципальный,Несколько муниципалитетов,Критическая,31625,2,391233160,4.0,4,13,27688,889,True,False,False,True,False,False,False,False,False,False,3
Сеть мониторинга #508,Банковская сфера,Региональный,Субъект РФ,Высокая,260971,1,28663812,24.0,7,11,211104,2167,True,False,False,False,False,False,False,False,False,True,2
Портал управления #509,Энергетика,Региональный,Федеральный округ,Средняя,165887,28,1295798,72.0,7,12,137038,2675,True,True,False,False,True,False,False,False,False,False,2
Система передачи #510,Связь,Объектовый,Один город,Средняя,2020,3,4746433,72.0,1,6,2147,915,False,True,False,False,False,False,True,False,True,False,0
Система обработки #511,Здравоохранение,Объектовый,Субъект РФ,Высокая,4567,9,203276298,12.0,3,6,5138,343,True,False,True,True,False,False,False,False,False,True,3
Сеть обработки #512,Наука,Объектовый,Федеральный округ,Средняя,4670,13,14994138,24.0,2,4,1091,703,False,True,True,False,True,False,False,False,True,True,2
Система аналитики #513,Энергетика,Объектовый,Один город,Средняя,3749,2,334642,24.0,2,6,3656,1474,False,True,False,False,True,False,False,False,False,False,0
ИС хранения #514,Государственное управление,Объектовый,Вся страна,Средняя,1222,85,8809416,72.0,4,6,1283,190,False,False,True,False,False,True,True,False,False,True,2
Сервис передачи #515,Энергетика,Муниципальный,Один город,Критическая,10463,4,224949011,4.0,4,14,11015,1822,True,True,False,True,True,False,False,True,True,False,3
АСУ ТП аналитики #516,Банковская сфера,Муниципальный,Один город,Критическая,35419,1,39279348,2.0,6,9,29406,2481,True,False,False,True,False,False,False,False,False,True,3
ИС управления #517,Связь,Муниципальный,Федеральный округ,Высокая,30860,20,124765176,4.0,9,10,44751,416,True,False,False,False,False,False,False,False,True,False,2
Сеть передачи #518,Наука,Объектовый,Несколько муниципалитетов,Средняя,2849,1,15065990,48.0,1,5,3723,830,False,False,False,False,False,False,False,False,False,False,0
Система аналитики #519,Здравоохранение,Региональный,Вся страна,Высокая,266023,79,188618727,8.0,8,14,364652,876,True,False,True,True,False,False,False,False,False,True,3
АСУ ТП управления #520,Здравоохранение,Объектовый,Вся страна,Низкая,3487,72,268333,72.0,3,7,752,975,False,True,True,True,False,False,True,True,False,True,3
ИС передачи #521,Транспорт,Региональный,Федеральный округ,Средняя,120543,19,1884829,48.0,5,20,145664,4261,False,True,False,True,False,False,True,True,True,False,3
Система передачи #522,Банковская сфера,Муниципальный,Федеральный округ,Средняя,9441,20,7025070,48.0,5,7,3405,968,False,False,False,False,False,False,False,False,False,True,0
Платформа аналитики #523,Государственное управление,Региональный,Вся страна,Средняя,299061,66,2790208,168.0,10,21,105226,3553,False,False,True,False,True,True,True,False,False,True,3
Платформа аналитики #524,Здравоохранение,Муниципальный,Субъект РФ,Критическая,40311,8,236525231,1.0,2,16,58550,1259,True,False,False,True,False,False,True,True,False,False,3
Сеть передачи #525,Оборонная промышленность,Региональный,Один город,Низкая,335037,1,84552,168.0,5,9,465948,416,True,False,False,False,False,True,False,True,False,True,2
Сеть передачи #526,Связь,Объектовый,Один город,Средняя,597,2,3876238,24.0,3,4,824,545,False,True,False,False,False,False,False,False,True,False,0
Система хранения #527,Здравоохранение,Муниципальный,Субъект РФ,Низкая,12440,6,68834,72.0,4,3,17072,71,False,False,False,True,False,False,True,False,True,False,1
Портал управления #528,Наука,Региональный,Несколько муниципалитетов,Средняя,430922,4,6029967,24.0,4,11,225643,771,False,False,False,False,False,False,False,False,False,False,1
Сервис управления #529,Связь,Региональный,Вся страна,Средняя,185533,79,2995347,48.0,14,19,212585,3566,False,True,False,False,False,False,False,True,True,False,2
Сервис хранения #530,Наука,Объектовый,Вся страна,Средняя,4618,85,791452,24.0,3,3,4128,565,True,False,False,False,False,False,False,False,False,False,1
Платформа управления #531,Здравоохранение,Региональный,Федеральный округ,Высокая,158840,25,7556334,24.0,7,8,117146,2847,True,False,False,True,False,False,True,False,False,False,3
ИС аналитики #532,Топливная промышленность,Муниципальный,Субъект РФ,Высокая,29454,3,49475666,4.0,9,11,22298,865,True,True,False,False,True,False,False,False,False,False,2
Портал передачи #533,Связь,Объектовый,Несколько муниципалитетов,Критическая,1400,1,7550576,4.0,3,3,1043,832,True,False,False,True,False,False,False,False,True,False,2
Платформа мониторинга #534,Банковская сфера,Объектовый,Субъект РФ,Средняя,2530,5,4434672,168.0,3,3,3463,900,False,False,False,False,True,False,False,False,False,True,0
Портал хранения #535,Транспорт,Муниципальный,Субъект РФ,Средняя,25535,4,271895,72.0,6,7,37183,178,False,True,False,True,True,False,True,True,False,False,2
ИС хранения #536,Здравоохранение,Муниципальный,Вся страна,Низкая,10717,86,1271034,72.0,3,13,1679,786,False,True,False,True,False,False,False,True,False,False,2
Сервис управления #537,Энергетика,Объектовый,Несколько муниципалитетов,Критическая,1553,1,52015266,1.0,2,2,2284,93,True,True,False,True,True,False,False,False,False,False,2
Система мониторинга #538,Государственное управление,Объектовый,Несколько муниципалитетов,Средняя,4561,4,303457,24.0,2,5,4654,1103,False,False,True,False,False,True,True,False,False,True,2
Сервис обработки #539,Наука,Региональный,Федеральный округ,Высокая,252142,27,13909352,8.0,14,15,213048,1426,True,False,False,False,False,False,False,False,False,False,2
АСУ ТП аналитики #540,Государственное управление,Федеральный,Вся страна,Высокая,663824,70,47634452,8.0,14,33,149097,3019,True,True,True,False,False,True,True,False,False,True,3
Портал аналитики #541,Топливная промышленность,Федеральный,Федеральный округ,Низкая,1704182,25,358885,48.0,11,45,650572,1090,False,True,False,False,True,False,False,False,False,False,3
Портал аналитики #542,Здравоохранение,Муниципальный,Субъект РФ,Низкая,64566,1,72389,48.0,8,8,39563,1252,False,False,False,True,False,False,False,False,False,False,1
Портал мониторинга #543,Здравоохранение,Объектовый,Несколько муниципалитетов,Критическая,3196,2,162481948,0.5,2,4,2866,235,True,False,False,True,False,False,False,False,False,False,2
АСУ ТП управления #544,Оборонная промышленность,Региональный,Субъект РФ,Высокая,422415,2,19459599,12.0,7,15,146772,3183,True,False,False,False,False,True,False,False,False,True,3
Сервис передачи #545,Оборонная промышленность,Региональный,Субъект РФ,Средняя,112925,9,1020355,72.0,5,13,24402,2040,False,False,False,False,False,True,False,False,False,False,2
Платформа аналитики #546,Транспорт,Региональный,Субъект РФ,Высокая,206594,9,95285641,12.0,4,13,127767,105,True,True,False,True,False,False,True,True,False,False,3
АСУ ТП аналитики #547,Связь,Региональный,Вся страна,Высокая,39062,63,353196004,24.0,9,8,29158,3519,True,False,False,False,False,False,False,False,True,False,2
Сервис хранения #548,Государственное управление,Региональный,Вся страна,Низкая,19894,61,311415,48.0,5,15,2701,2770,True,False,True,False,False,False,True,False,False,True,2
Платформа аналитики #549,Энергетика,Региональный,Вся страна,Средняя,42200,58,527257,72.0,2,11,19176,2832,True,True,False,False,True,False,False,False,False,False,1
АСУ ТП передачи #550,Оборонная промышленность,Муниципальный,Федеральный округ,Низкая,38318,15,196624,168.0,2,3,44829,1203,False,False,True,False,False,False,False,False,False,True,1
Сеть управления #551,Топливная промышленность,Федеральный,Вся страна,Средняя,1204077,61,18589249,168.0,14,11,1230928,2619,False,True,False,False,True,False,False,False,False,False,3
Сервис обработки #552,Государственное управление,Федеральный,Субъект РФ,Средняя,126530,2,801483,168.0,12,25,189303,2121,False,False,True,False,False,True,True,False,False,True,3
Система хранения #553,Наука,Объектовый,Несколько муниципалитетов,Низкая,573,4,104137,168.0,1,10,482,309,True,False,False,False,False,False,False,False,False,False,0
АСУ ТП управления #554,Оборонная промышленность,Федеральный,Несколько муниципалитетов,Высокая,940425,2,8927621,24.0,6,22,1343288,1292,True,False,False,False,False,True,False,False,False,True,3
Сервис обработки #555,Топливная промышленность,Региональный,Субъект РФ,Низкая,133568,4,129497,48.0,8,19,193300,2089,False,True,False,False,True,False,False,False,False,False,1
Сервис хранения #556,Банковская сфера,Муниципальный,Несколько муниципалитетов,Низкая,27355,3,204989,72.0,4,13,24636,2261,False,False,False,False,True,False,False,False,False,True,1
ИС обработки #557,Топливная промышленность,Муниципальный,Один город,Средняя,11827,3,205504,48.0,9,12,13273,1031,False,True,False,False,True,False,False,False,True,False,1
Портал управления #558,Наука,Региональный,Несколько муниципалитетов,Высокая,263341,4,221889478,12.0,10,25,376840,1864,True,True,False,False,False,False,False,False,False,False,2
АСУ ТП хранения #559,Транспорт,Региональный,Несколько муниципалитетов,Средняя,44018,2,7084546,24.0,7,25,27246,534,False,True,False,True,False,False,True,True,True,False,2
Сеть обработки #560,Государственное управление,Региональный,Субъект РФ,Средняя,56298,7,2661658,72.0,7,17,76398,696,True,True,True,False,True,True,True,False,False,True,3
Сеть передачи #561,Наука,Региональный,Несколько муниципалитетов,Средняя,174532,1,611101,24.0,13,8,212572,3127,False,False,False,False,False,False,False,False,True,False,1
Сеть обработки #562,Оборонная промышленность,Объектовый,Вся страна,Средняя,927,59,4736684,48.0,2,6,1069,43,False,False,False,False,True,True,False,False,False,True,1
Сервис управления #563,Энергетика,Федеральный,Федеральный округ,Высокая,1964237,25,27012997,24.0,19,17,2033204,3765,True,True,False,False,True,False,False,False,False,False,3
Сеть обработки #564,Топливная промышленность,Муниципальный,Вся страна,Средняя,40950,58,6315009,168.0,1,11,25700,1549,False,True,False,False,True,False,False,False,True,False,1
Сеть управления #565,Оборонная промышленность,Региональный,Субъект РФ,Низкая,444791,2,235300,168.0,3,22,117945,2980,False,False,False,False,False,True,False,False,False,True,2
Система мониторинга #566,Топливная промышленность,Муниципальный,Вся страна,Критическая,73275,87,190449785,0.5,8,10,11817,1163,True,True,False,False,True,False,True,False,False,False,3
АСУ ТП обработки #567,Банковская сфера,Федеральный,Несколько муниципалитетов,Высокая,935231,2,1920844,4.0,12,19,469441,428,True,False,False,False,False,False,False,False,False,True,2
ИС передачи #568,Топливная промышленность,Региональный,Федеральный округ,Средняя,174756,25,1053592,48.0,9,11,160654,806,False,True,False,False,True,False,False,False,False,False,2
Система хранения #569,Связь,Региональный,Субъект РФ,Высокая,201579,8,591478936,24.0,10,20,42704,3120,True,True,False,False,False,False,False,False,True,False,3
АСУ ТП мониторинга #570,Транспорт,Федеральный,Вся страна,Низкая,920456,72,91893,168.0,16,32,622683,1884,False,True,False,True,False,False,True,True,True,False,3
Портал передачи #571,Наука,Региональный,Федеральный округ,Средняя,178376,19,62850428,48.0,8,17,187284,77,False,False,False,False,False,False,False,False,False,False,1
Система обработки #572,Наука,Муниципальный,Один город,Высокая,69882,4,62275376,24.0,9,14,37418,614,True,False,False,False,True,False,False,False,False,False,1
Система аналитики #573,Топливная промышленность,Региональный,Вся страна,Низкая,322621,54,269712,168.0,14,8,368381,3413,False,True,False,False,True,False,False,False,True,False,2
Система мониторинга #574,Оборонная промышленность,Региональный,Субъект РФ,Высокая,228204,8,764451946,8.0,9,15,169120,1754,True,False,False,False,False,True,False,False,False,True,3
ИС управления #575,Топливная промышленность,Муниципальный,Один город,Критическая,45668,3,337456926,4.0,5,13,37675,2243,True,True,False,False,True,False,False,False,False,False,2
Платформа мониторинга #576,Государственное управление,Объектовый,Субъект РФ,Низкая,484,6,368284,48.0,2,1,631,526,False,False,True,False,False,True,True,False,True,False,1
Система обработки #577,Банковская сфера,Федеральный,Несколько муниципалитетов,Высокая,634999,2,56760180,4.0,19,26,903772,2541,True,False,False,False,False,False,False,False,False,True,3
ИС управления #578,Топливная промышленность,Федеральный,Вся страна,Средняя,291501,82,7116333,48.0,13,33,382501,524,False,True,False,False,True,False,False,False,False,False,2
АСУ ТП управления #579,Оборонная промышленность,Муниципальный,Один город,Средняя,14039,1,3766358,72.0,1,1,20390,2703,False,False,False,False,False,True,True,False,False,True,1
Портал управления #580,Государственное управление,Региональный,Один город,Низкая,186935,4,343982,72.0,10,15,226634,155,True,False,True,False,False,True,True,False,True,True,3
Система аналитики #581,Здравоохранение,Федеральный,Вся страна,Низкая,453568,78,191632,48.0,17,20,341779,4206,False,False,False,True,False,False,False,False,False,False,3
Система хранения #582,Связь,Муниципальный,Субъект РФ,Критическая,48677,6,274203638,0.5,3,1,62880,1771,True,False,False,True,False,False,False,False,True,False,3
Сервис мониторинга #583,Наука,Региональный,Федеральный округ,Высокая,56354,23,2752333,8.0,7,18,18418,2476,True,False,False,False,False,False,False,False,True,False,1
Система управления #584,Здравоохранение,Региональный,Несколько муниципалитетов,Критическая,165775,2,151313898,1.0,4,17,31639,1975,True,False,False,True,False,False,False,False,False,False,3
Сеть обработки #585,Оборонная промышленность,Региональный,Вся страна,Критическая,251961,58,296426070,1.0,14,16,125163,2033,True,False,False,True,False,True,False,False,False,True,3
Сервис мониторинга #586,Здравоохранение,Муниципальный,Один город,Средняя,51813,2,1500339,24.0,6,10,21744,77,False,True,False,True,False,False,True,False,False,False,2
АСУ ТП хранения #587,Транспорт,Региональный,Субъект РФ,Критическая,134858,7,51222882,1.0,11,19,15442,2018,True,True,False,True,False,False,True,True,False,False,3
Сеть обработки #588,Связь,Федеральный,Один город,Средняя,1340813,2,1818799,168.0,8,13,1775172,663,False,True,False,False,False,False,False,False,True,False,2
Портал аналитики #589,Энергетика,Объектовый,Вся страна,Низкая,3514,56,190400,24.0,3,6,1702,261,False,True,False,False,True,False,False,False,False,False,1
Платформа хранения #590,Банковская сфера,Объектовый,Один город,Критическая,1868,4,44635215,2.0,2,3,923,629,True,False,False,True,False,False,False,True,False,True,2
Сервис передачи #591,Транспорт,Федеральный,Несколько муниципалитетов,Средняя,796969,1,521305,48.0,11,11,820943,821,False,True,False,True,False,False,True,True,False,False,3
Портал передачи #592,Топливная промышленность,Объектовый,Несколько муниципалитетов,Средняя,417,4,2817411,168.0,1,6,597,1279,False,True,False,False,True,False,False,False,False,False,0
ИС управления #593,Транспорт,Федеральный,Один город,Критическая,985664,3,14916757,1.0,11,27,1373192,1309,True,True,False,True,False,False,True,True,False,False,3
Сервис обработки #594,Наука,Муниципальный,Несколько муниципалитетов,Низкая,30667,3,53868,72.0,8,9,28682,1602,True,False,False,False,False,False,True,False,False,False,1
Сервис аналитики #595,Государственное управление,Региональный,Несколько муниципалитетов,Средняя,125926,3,474905,24.0,10,19,88942,3579,True,False,True,False,False,True,True,False,False,True,3
ИС мониторинга #596,Оборонная промышленность,Муниципальный,Один город,Высокая,19272,1,25236835,24.0,6,9,11539,1284,True,False,False,False,False,True,False,False,False,True,2
Сеть управления #597,Государственное управление,Региональный,Федеральный округ,Низкая,39472,24,45368,48.0,10,20,9445,2918,False,False,True,False,False,True,True,False,False,True,3
Сервис хранения #598,Энергетика,Объектовый,Несколько муниципалитетов,Средняя,451,4,1465880,24.0,4,6,278,443,False,True,False,False,True,False,True,False,False,False,1
Сервис мониторинга #599,Здравоохранение,Объектовый,Субъект РФ,Высокая,1033,7,19938862,24.0,1,3,1199,382,True,False,False,True,False,False,False,False,False,False,2
Система передачи #600,Транспорт,Муниципальный,Вся страна,Высокая,6619,74,810372659,24.0,8,5,959,264,True,True,False,True,False,False,True,True,False,False,3
ИС передачи #601,Связь,Региональный,Вся страна,Средняя,242775,66,1072194,168.0,12,13,113684,233,False,False,False,False,False,False,False,False,True,False,1
ИС хранения #602,Государственное управление,Объектовый,Один город,Средняя,1807,4,1036538,48.0,2,3,865,1624,False,False,True,False,False,True,True,False,False,True,2
Портал управления #603,Топливная промышленность,Муниципальный,Субъект РФ,Критическая,74434,7,550725996,4.0,4,14,90808,2498,True,True,False,False,True,False,False,False,False,False,3
ИС мониторинга #604,Наука,Региональный,Вся страна,Высокая,51076,55,31761165,24.0,7,22,21151,1022,True,False,False,False,False,False,False,False,False,False,2
ИС передачи #605,Энергетика,Региональный,Вся страна,Средняя,389365,55,4131111,72.0,12,19,409137,1899,False,True,False,False,True,False,False,False,False,False,2
АСУ ТП управления #606,Связь,Федеральный,Несколько муниципалитетов,Высокая,482242,1,161051197,24.0,12,19,593994,2101,True,False,False,False,True,False,False,False,True,False,2
Сеть мониторинга #607,Здравоохранение,Региональный,Субъект РФ,Высокая,91466,7,464421149,8.0,6,9,14852,2704,True,False,False,True,False,False,False,False,False,False,3
Система обработки #608,Транспорт,Региональный,Один город,Высокая,309145,3,929901627,12.0,7,22,372260,1017,True,True,False,True,True,False,True,True,False,False,3
Портал передачи #609,Банковская сфера,Объектовый,Субъект РФ,Высокая,3735,6,83499027,12.0,1,7,2770,265,True,False,False,False,False,False,False,True,False,True,1
Портал хранения #610,Топливная промышленность,Муниципальный,Один город,Низкая,8753,4,1101676,48.0,8,10,11739,76,False,True,False,False,True,False,False,False,False,False,0
Платформа аналитики #611,Транспорт,Объектовый,Один город,Средняя,3943,2,16271422,168.0,2,7,4709,343,False,True,False,True,False,False,True,True,True,False,2
АСУ ТП хранения #612,Топливная промышленность,Муниципальный,Вся страна,Низкая,4349,63,277310,48.0,7,3,3686,418,True,True,False,False,True,False,False,False,False,False,1
АСУ ТП аналитики #613,Топливная промышленность,Федеральный,Несколько муниципалитетов,Средняя,296473,1,1195369,72.0,7,19,432335,2252,False,True,False,False,True,False,False,False,False,False,2
Сеть передачи #614,Здравоохранение,Объектовый,Вся страна,Средняя,3203,66,3001298,168.0,2,8,1244,392,True,False,False,True,False,False,True,False,False,False,2
ИС передачи #615,Транспорт,Объектовый,Один город,Высокая,2607,2,26275761,12.0,2,3,1995,443,True,True,False,True,False,False,True,True,False,False,2
Сеть аналитики #616,Связь,Муниципальный,Субъект РФ,Низкая,4430,5,60027,48.0,6,12,670,843,False,False,False,False,False,False,False,True,True,False,0
ИС управления #617,Здравоохранение,Муниципальный,Субъект РФ,Средняя,15558,7,34924228,48.0,4,8,6374,2954,False,True,False,True,False,False,False,False,False,False,2
Система передачи #618,Топливная промышленность,Федеральный,Несколько муниципалитетов,Низкая,784297,4,106653,48.0,16,23,84635,6076,True,True,False,False,True,False,False,False,False,False,2
ИС хранения #619,Здравоохранение,Объектовый,Несколько муниципалитетов,Высокая,1249,4,85880660,4.0,3,4,545,519,True,False,False,True,False,False,False,False,False,False,2
Система хранения #620,Банковская сфера,Федеральный,Федеральный округ,Средняя,625569,27,2008035,48.0,13,25,825136,2678,False,False,True,False,False,False,False,False,False,True,3
Платформа передачи #621,Связь,Объектовый,Вся страна,Низкая,1001,81,106071,48.0,4,7,1162,1173,True,False,False,False,False,False,True,True,True,False,1
Сервис хранения #622,Транспорт,Муниципальный,Федеральный округ,Низкая,24416,14,91419,48.0,8,11,34462,1870,False,True,False,True,False,False,True,True,False,False,2
Система передачи #623,Здравоохранение,Федеральный,Субъект РФ,Низкая,1618110,4,277006,48.0,4,6,1167774,289,False,False,False,True,False,False,False,False,False,False,2
Платформа мониторинга #624,Банковская сфера,Муниципальный,Несколько муниципалитетов,Средняя,79873,3,12519528,168.0,4,13,19380,811,False,False,False,False,False,False,True,False,True,True,1
Сервис мониторинга #625,Оборонная промышленность,Региональный,Вся страна,Высокая,52853,62,62904538,24.0,7,25,65633,2229,True,False,False,False,False,True,False,True,False,True,3
Платформа управления #626,Банковская сфера,Объектовый,Несколько муниципалитетов,Низкая,1133,1,184415,48.0,4,5,1688,130,True,False,False,False,False,False,False,False,False,False,0
